robot,case,status,frames,fps,width,height,bytes,video
a1_description,u2_yaw_p20,ok,50,10,900,600,877131,/tmp/robot_cfd_final24_20260925_50f/videos/a1_description__u2_yaw_p20__final_corrected.mp4
a1_description,u6_yaw_p20,ok,50,10,900,600,1008939,/tmp/robot_cfd_final24_20260925_50f/videos/a1_description__u6_yaw_p20__final_corrected.mp4
aliengo_description,u3_yaw_m10,ok,50,10,900,600,869451,/tmp/robot_cfd_final24_20260925_50f/videos/aliengo_description__u3_yaw_m10__final_corrected.mp4
aliengo_description,u4_yaw_p0,ok,50,10,900,600,909634,/tmp/robot_cfd_final24_20260925_50f/videos/aliengo_description__u4_yaw_p0__final_corrected.mp4
anymal_b_description,u4_yaw_p20,ok,50,10,900,600,904638,/tmp/robot_cfd_final24_20260925_50f/videos/anymal_b_description__u4_yaw_p20__final_corrected.mp4
anymal_b_description,u6_yaw_p0,ok,50,10,900,600,1078856,/tmp/robot_cfd_final24_20260925_50f/videos/anymal_b_description__u6_yaw_p0__final_corrected.mp4
anymal_d_description,u4_yaw_p0,ok,50,10,900,600,673889,/tmp/robot_cfd_final24_20260925_50f/videos/anymal_d_description__u4_yaw_p0__final_corrected.mp4
anymal_d_description,u8_yaw_p20,ok,50,10,900,600,703989,/tmp/robot_cfd_final24_20260925_50f/videos/anymal_d_description__u8_yaw_p20__final_corrected.mp4
b1_description,u2_yaw_p20,ok,50,10,900,600,902980,/tmp/robot_cfd_final24_20260925_50f/videos/b1_description__u2_yaw_p20__final_corrected.mp4
b1_description,u6_yaw_m20,ok,50,10,900,600,1063374,/tmp/robot_cfd_final24_20260925_50f/videos/b1_description__u6_yaw_m20__final_corrected.mp4
b2_description,u6_yaw_m20,ok,50,10,900,600,966291,/tmp/robot_cfd_final24_20260925_50f/videos/b2_description__u6_yaw_m20__final_corrected.mp4
b2_description,u8_yaw_p0,ok,50,10,900,600,1028308,/tmp/robot_cfd_final24_20260925_50f/videos/b2_description__u8_yaw_p0__final_corrected.mp4
bolt_description,u2_yaw_m20,ok,50,10,900,600,1103550,/tmp/robot_cfd_final24_20260925_50f/videos/bolt_description__u2_yaw_m20__final_corrected.mp4
bolt_description,u3_yaw_p10,ok,50,10,900,600,1175166,/tmp/robot_cfd_final24_20260925_50f/videos/bolt_description__u3_yaw_p10__final_corrected.mp4
booster_t1_description,u2_yaw_m20,ok,50,10,900,600,657701,/tmp/robot_cfd_final24_20260925_50f/videos/booster_t1_description__u2_yaw_m20__final_corrected.mp4
booster_t1_description,u4_yaw_m20,ok,50,10,900,600,725115,/tmp/robot_cfd_final24_20260925_50f/videos/booster_t1_description__u4_yaw_m20__final_corrected.mp4
cassie_description,u4_yaw_p20,ok,50,10,900,600,1004248,/tmp/robot_cfd_final24_20260925_50f/videos/cassie_description__u4_yaw_p20__final_corrected.mp4
cassie_description,u6_yaw_p0,ok,50,10,900,600,986784,/tmp/robot_cfd_final24_20260925_50f/videos/cassie_description__u6_yaw_p0__final_corrected.mp4
ergocub_description,u4_yaw_p20,ok,50,10,900,600,1073504,/tmp/robot_cfd_final24_20260925_50f/videos/ergocub_description__u4_yaw_p20__final_corrected.mp4
ergocub_description,u8_yaw_p20,ok,50,10,900,600,1197115,/tmp/robot_cfd_final24_20260925_50f/videos/ergocub_description__u8_yaw_p20__final_corrected.mp4
g1_description,u2_yaw_m20,ok,50,10,900,600,735991,/tmp/robot_cfd_final24_20260925_50f/videos/g1_description__u2_yaw_m20__final_corrected.mp4
g1_description,u2_yaw_p0,ok,50,10,900,600,748221,/tmp/robot_cfd_final24_20260925_50f/videos/g1_description__u2_yaw_p0__final_corrected.mp4
go2_description,u6_yaw_m20,ok,50,10,900,600,1018437,/tmp/robot_cfd_final24_20260925_50f/videos/go2_description__u6_yaw_m20__final_corrected.mp4
go2_description,u7_yaw_p10,ok,50,10,900,600,1073398,/tmp/robot_cfd_final24_20260925_50f/videos/go2_description__u7_yaw_p10__final_corrected.mp4
h1_2_description,u4_yaw_m20,ok,50,10,900,600,796071,/tmp/robot_cfd_final24_20260925_50f/videos/h1_2_description__u4_yaw_m20__final_corrected.mp4
h1_2_description,u8_yaw_m20,ok,50,10,900,600,897062,/tmp/robot_cfd_final24_20260925_50f/videos/h1_2_description__u8_yaw_m20__final_corrected.mp4
h1_description,u4_yaw_p0,ok,50,10,900,600,766904,/tmp/robot_cfd_final24_20260925_50f/videos/h1_description__u4_yaw_p0__final_corrected.mp4
h1_description,u8_yaw_p0,ok,50,10,900,600,851867,/tmp/robot_cfd_final24_20260925_50f/videos/h1_description__u8_yaw_p0__final_corrected.mp4
jvrc_description,u4_yaw_p20,ok,50,10,900,600,770644,/tmp/robot_cfd_final24_20260925_50f/videos/jvrc_description__u4_yaw_p20__final_corrected.mp4
jvrc_description,u8_yaw_m20,ok,50,10,900,600,887606,/tmp/robot_cfd_final24_20260925_50f/videos/jvrc_description__u8_yaw_m20__final_corrected.mp4
laikago_description,u4_yaw_p20,ok,50,10,900,600,974528,/tmp/robot_cfd_final24_20260925_50f/videos/laikago_description__u4_yaw_p20__final_corrected.mp4
laikago_description,u7_yaw_m10,ok,50,10,900,600,1069238,/tmp/robot_cfd_final24_20260925_50f/videos/laikago_description__u7_yaw_m10__final_corrected.mp4
legolas_description,u7_yaw_p10,ok,50,10,900,600,1258244,/tmp/robot_cfd_final24_20260925_50f/videos/legolas_description__u7_yaw_p10__final_corrected.mp4
legolas_description,u8_yaw_m20,ok,50,10,900,600,1205537,/tmp/robot_cfd_final24_20260925_50f/videos/legolas_description__u8_yaw_m20__final_corrected.mp4
mini_cheetah_description,u8_yaw_p0,ok,50,10,900,600,1173431,/tmp/robot_cfd_final24_20260925_50f/videos/mini_cheetah_description__u8_yaw_p0__final_corrected.mp4
mini_cheetah_description,u8_yaw_p20,ok,50,10,900,600,1112339,/tmp/robot_cfd_final24_20260925_50f/videos/mini_cheetah_description__u8_yaw_p20__final_corrected.mp4
solo_description,u2_yaw_p20,ok,50,10,900,600,774962,/tmp/robot_cfd_final24_20260925_50f/videos/solo_description__u2_yaw_p20__final_corrected.mp4
solo_description,u8_yaw_p20,ok,50,10,900,600,930769,/tmp/robot_cfd_final24_20260925_50f/videos/solo_description__u8_yaw_p20__final_corrected.mp4
talos_description,u3_yaw_p10,ok,50,10,900,600,903201,/tmp/robot_cfd_final24_20260925_50f/videos/talos_description__u3_yaw_p10__final_corrected.mp4
talos_description,u8_yaw_p20,ok,50,10,900,600,1040281,/tmp/robot_cfd_final24_20260925_50f/videos/talos_description__u8_yaw_p20__final_corrected.mp4
thormang3_description,u4_yaw_m20,ok,50,10,900,600,802976,/tmp/robot_cfd_final24_20260925_50f/videos/thormang3_description__u4_yaw_m20__final_corrected.mp4
thormang3_description,u6_yaw_p20,ok,50,10,900,600,968296,/tmp/robot_cfd_final24_20260925_50f/videos/thormang3_description__u6_yaw_p20__final_corrected.mp4
